start,end,price,price_origin
2025-10-17T22:00:00+00:00,2025-10-17T22:15:00+00:00,0.09361,market
2025-10-17T22:15:00+00:00,2025-10-17T22:30:00+00:00,0.10362,market
2025-10-17T22:30:00+00:00,2025-10-17T22:45:00+00:00,0.0934,market
2025-10-17T22:45:00+00:00,2025-10-17T23:00:00+00:00,0.08783,market
2025-10-17T23:00:00+00:00,2025-10-17T23:15:00+00:00,0.09635,market
2025-10-17T23:15:00+00:00,2025-10-17T23:30:00+00:00,0.08971,market
2025-10-17T23:30:00+00:00,2025-10-17T23:45:00+00:00,0.08682,market
2025-10-17T23:45:00+00:00,2025-10-18T00:00:00+00:00,0.08656,market
2025-10-18T00:00:00+00:00,2025-10-18T00:15:00+00:00,0.0972,market
2025-10-18T00:15:00+00:00,2025-10-18T00:30:00+00:00,0.0898,market
2025-10-18T00:30:00+00:00,2025-10-18T00:45:00+00:00,0.08687,market
2025-10-18T00:45:00+00:00,2025-10-18T01:00:00+00:00,0.08538,market
2025-10-18T01:00:00+00:00,2025-10-18T01:15:00+00:00,0.08651,market
2025-10-18T01:15:00+00:00,2025-10-18T01:30:00+00:00,0.08683,market
2025-10-18T01:30:00+00:00,2025-10-18T01:45:00+00:00,0.08962,market
2025-10-18T01:45:00+00:00,2025-10-18T02:00:00+00:00,0.09038,market
2025-10-18T02:00:00+00:00,2025-10-18T02:15:00+00:00,0.08541,market
2025-10-18T02:15:00+00:00,2025-10-18T02:30:00+00:00,0.08607,market
2025-10-18T02:30:00+00:00,2025-10-18T02:45:00+00:00,0.08929,market
2025-10-18T02:45:00+00:00,2025-10-18T03:00:00+00:00,0.09263,market
2025-10-18T03:00:00+00:00,2025-10-18T03:15:00+00:00,0.08236,market
2025-10-18T03:15:00+00:00,2025-10-18T03:30:00+00:00,0.08506,market
2025-10-18T03:30:00+00:00,2025-10-18T03:45:00+00:00,0.09341,market
2025-10-18T03:45:00+00:00,2025-10-18T04:00:00+00:00,0.09243,market
2025-10-18T04:00:00+00:00,2025-10-18T04:15:00+00:00,0.08022,market
2025-10-18T04:15:00+00:00,2025-10-18T04:30:00+00:00,0.0854,market
2025-10-18T04:30:00+00:00,2025-10-18T04:45:00+00:00,0.0957,market
2025-10-18T04:45:00+00:00,2025-10-18T05:00:00+00:00,0.1065,market
2025-10-18T05:00:00+00:00,2025-10-18T05:15:00+00:00,0.09319,market
2025-10-18T05:15:00+00:00,2025-10-18T05:30:00+00:00,0.10874,market
2025-10-18T05:30:00+00:00,2025-10-18T05:45:00+00:00,0.11587,market
2025-10-18T05:45:00+00:00,2025-10-18T06:00:00+00:00,0.12009,market
2025-10-18T06:00:00+00:00,2025-10-18T06:15:00+00:00,0.12119,market
2025-10-18T06:15:00+00:00,2025-10-18T06:30:00+00:00,0.11752,market
2025-10-18T06:30:00+00:00,2025-10-18T06:45:00+00:00,0.1165,market
2025-10-18T06:45:00+00:00,2025-10-18T07:00:00+00:00,0.10297,market
2025-10-18T07:00:00+00:00,2025-10-18T07:15:00+00:00,0.12499,market
2025-10-18T07:15:00+00:00,2025-10-18T07:30:00+00:00,0.11567,market
2025-10-18T07:30:00+00:00,2025-10-18T07:45:00+00:00,0.09287,market
2025-10-18T07:45:00+00:00,2025-10-18T08:00:00+00:00,0.07544,market
2025-10-18T08:00:00+00:00,2025-10-18T08:15:00+00:00,0.11491,market
2025-10-18T08:15:00+00:00,2025-10-18T08:30:00+00:00,0.09169,market
2025-10-18T08:30:00+00:00,2025-10-18T08:45:00+00:00,0.08288,market
2025-10-18T08:45:00+00:00,2025-10-18T09:00:00+00:00,0.07639,market
