time,forecast_mw
2025-10-07 00:00:00+02:00,951.99
2025-10-07 00:15:00+02:00,929.23
2025-10-07 00:30:00+02:00,902.0
2025-10-07 00:45:00+02:00,883.22
2025-10-07 01:00:00+02:00,858.38
2025-10-07 01:15:00+02:00,844.63
2025-10-07 01:30:00+02:00,830.83
2025-10-07 01:45:00+02:00,817.01
2025-10-07 02:00:00+02:00,802.0
2025-10-07 02:15:00+02:00,803.1
2025-10-07 02:30:00+02:00,805.35
2025-10-07 02:45:00+02:00,803.12
2025-10-07 03:00:00+02:00,802.98
2025-10-07 03:15:00+02:00,813.1
2025-10-07 03:30:00+02:00,819.24
2025-10-07 03:45:00+02:00,825.36
2025-10-07 04:00:00+02:00,845.21
2025-10-07 04:15:00+02:00,879.86
2025-10-07 04:30:00+02:00,911.52
2025-10-07 04:45:00+02:00,945.25
2025-10-07 05:00:00+02:00,983.23
2025-10-07 05:15:00+02:00,1017.88
2025-10-07 05:30:00+02:00,1047.58
2025-10-07 05:45:00+02:00,1083.3
2025-10-07 06:00:00+02:00,1116.45
2025-10-07 06:15:00+02:00,1146.35
2025-10-07 06:30:00+02:00,1177.28
2025-10-07 06:45:00+02:00,1212.18
2025-10-07 07:00:00+02:00,1247.3
2025-10-07 07:15:00+02:00,1258.9
2025-10-07 07:30:00+02:00,1263.44
2025-10-07 07:45:00+02:00,1281.93
2025-10-07 08:00:00+02:00,1295.93
2025-10-07 08:15:00+02:00,1319.9
2025-10-07 08:30:00+02:00,1355.4
2025-10-07 08:45:00+02:00,1391.92
2025-10-07 09:00:00+02:00,1424.57
2025-10-07 09:15:00+02:00,1491.66
2025-10-07 09:30:00+02:00,1554.77
2025-10-07 09:45:00+02:00,1629.88
2025-10-07 10:00:00+02:00,1717.15
2025-10-07 10:15:00+02:00,1799.83
2025-10-07 10:30:00+02:00,1884.62
2025-10-07 10:45:00+02:00,1973.44
2025-10-07 11:00:00+02:00,2067.77
2025-10-07 11:15:00+02:00,2170.46
2025-10-07 11:30:00+02:00,2277.22
2025-10-07 11:45:00+02:00,2386.03
2025-10-07 12:00:00+02:00,2491.38
2025-10-07 12:15:00+02:00,2561.9
2025-10-07 12:30:00+02:00,2629.51
2025-10-07 12:45:00+02:00,2704.07
2025-10-07 13:00:00+02:00,2769.03
2025-10-07 13:15:00+02:00,2821.15
2025-10-07 13:30:00+02:00,2878.25
2025-10-07 13:45:00+02:00,2936.35
2025-10-07 14:00:00+02:00,2993.41
2025-10-07 14:15:00+02:00,3037.35
2025-10-07 14:30:00+02:00,3084.28
2025-10-07 14:45:00+02:00,3132.21
2025-10-07 15:00:00+02:00,3168.03
2025-10-07 15:15:00+02:00,3184.32
2025-10-07 15:30:00+02:00,3192.67
2025-10-07 15:45:00+02:00,3199.98
2025-10-07 16:00:00+02:00,3204.74
2025-10-07 16:15:00+02:00,3202.34
2025-10-07 16:30:00+02:00,3192.05
2025-10-07 16:45:00+02:00,3184.93
2025-10-07 17:00:00+02:00,3173.75
2025-10-07 17:15:00+02:00,3164.66
2025-10-07 17:30:00+02:00,3163.61
2025-10-07 17:45:00+02:00,3149.79
2025-10-07 18:00:00+02:00,3139.11
2025-10-07 18:15:00+02:00,3136.67
2025-10-07 18:30:00+02:00,3139.22
2025-10-07 18:45:00+02:00,3137.77
2025-10-07 19:00:00+02:00,3137.68
2025-10-07 19:15:00+02:00,3129.45
2025-10-07 19:30:00+02:00,3123.22
2025-10-07 19:45:00+02:00,3112.92
2025-10-07 20:00:00+02:00,3107.04
2025-10-07 20:15:00+02:00,3111.62
2025-10-07 20:30:00+02:00,3119.55
2025-10-07 20:45:00+02:00,3128.77
2025-10-07 21:00:00+02:00,3134.02
2025-10-07 21:15:00+02:00,3130.13
2025-10-07 21:30:00+02:00,3123.33
2025-10-07 21:45:00+02:00,3117.9
2025-10-07 22:00:00+02:00,3137.99
2025-10-07 22:15:00+02:00,3119.57
2025-10-07 22:30:00+02:00,3098.28
2025-10-07 22:45:00+02:00,3078.95
2025-10-07 23:00:00+02:00,3052.37
2025-10-07 23:15:00+02:00,3031.89
2025-10-07 23:30:00+02:00,3012.49
2025-10-07 23:45:00+02:00,2984.23
2025-10-08 00:00:00+02:00,2925.21
2025-10-08 00:15:00+02:00,2902.57
2025-10-08 00:30:00+02:00,2879.05
2025-10-08 00:45:00+02:00,2850.74
2025-10-08 01:00:00+02:00,2823.77
2025-10-08 01:15:00+02:00,2819.33
2025-10-08 01:30:00+02:00,2811.23
2025-10-08 01:45:00+02:00,2806.71
2025-10-08 02:00:00+02:00,2801.48
2025-10-08 02:15:00+02:00,2793.63
2025-10-08 02:30:00+02:00,2788.83
2025-10-08 02:45:00+02:00,2782.33
2025-10-08 03:00:00+02:00,2771.36
2025-10-08 03:15:00+02:00,2754.82
2025-10-08 03:30:00+02:00,2740.25
2025-10-08 03:45:00+02:00,2731.16
2025-10-08 04:00:00+02:00,2716.4
2025-10-08 04:15:00+02:00,2677.7
2025-10-08 04:30:00+02:00,2641.01
2025-10-08 04:45:00+02:00,2600.13
2025-10-08 05:00:00+02:00,2562.31
2025-10-08 05:15:00+02:00,2517.92
2025-10-08 05:30:00+02:00,2467.65
2025-10-08 05:45:00+02:00,2418.11
2025-10-08 06:00:00+02:00,2350.1
2025-10-08 06:15:00+02:00,2277.9
2025-10-08 06:30:00+02:00,2206.68
2025-10-08 06:45:00+02:00,2139.01
2025-10-08 07:00:00+02:00,2069.75
2025-10-08 07:15:00+02:00,2005.88
2025-10-08 07:30:00+02:00,1938.68
2025-10-08 07:45:00+02:00,1872.67
2025-10-08 08:00:00+02:00,1800.36
2025-10-08 08:15:00+02:00,1750.23
2025-10-08 08:30:00+02:00,1695.12
2025-10-08 08:45:00+02:00,1640.62
2025-10-08 09:00:00+02:00,1586.23
2025-10-08 09:15:00+02:00,1548.26
2025-10-08 09:30:00+02:00,1504.35
2025-10-08 09:45:00+02:00,1463.71
2025-10-08 10:00:00+02:00,1428.52
2025-10-08 10:15:00+02:00,1417.02
2025-10-08 10:30:00+02:00,1406.57
2025-10-08 10:45:00+02:00,1393.13
2025-10-08 11:00:00+02:00,1392.53
2025-10-08 11:15:00+02:00,1401.18
2025-10-08 11:30:00+02:00,1409.86
2025-10-08 11:45:00+02:00,1421.61
2025-10-08 12:00:00+02:00,1444.16
2025-10-08 12:15:00+02:00,1466.67
2025-10-08 12:30:00+02:00,1495.22
2025-10-08 12:45:00+02:00,1528.73
2025-10-08 13:00:00+02:00,1553.02
2025-10-08 13:15:00+02:00,1578.17
2025-10-08 13:30:00+02:00,1600.47
2025-10-08 13:45:00+02:00,1625.1
2025-10-08 14:00:00+02:00,1647.35
2025-10-08 14:15:00+02:00,1670.51
2025-10-08 14:30:00+02:00,1693.58
2025-10-08 14:45:00+02:00,1710.45
2025-10-08 15:00:00+02:00,1733.91
2025-10-08 15:15:00+02:00,1741.44
2025-10-08 15:30:00+02:00,1750.93
2025-10-08 15:45:00+02:00,1760.03
2025-10-08 16:00:00+02:00,1770.94
2025-10-08 16:15:00+02:00,1770.43
2025-10-08 16:30:00+02:00,1771.59
2025-10-08 16:45:00+02:00,1771.05
2025-10-08 17:00:00+02:00,1773.91
2025-10-08 17:15:00+02:00,1777.66
2025-10-08 17:30:00+02:00,1779.53
2025-10-08 17:45:00+02:00,1787.6
2025-10-08 18:00:00+02:00,1788.71
2025-10-08 18:15:00+02:00,1785.94
2025-10-08 18:30:00+02:00,1779.76
2025-10-08 18:45:00+02:00,1776.82
2025-10-08 19:00:00+02:00,1770.7
2025-10-08 19:15:00+02:00,1755.54
2025-10-08 19:30:00+02:00,1741.47
2025-10-08 19:45:00+02:00,1724.5
2025-10-08 20:00:00+02:00,1713.73
2025-10-08 20:15:00+02:00,1701.27
2025-10-08 20:30:00+02:00,1697.07
2025-10-08 20:45:00+02:00,1685.97
2025-10-08 21:00:00+02:00,1681.61
2025-10-08 21:15:00+02:00,1673.62
2025-10-08 21:30:00+02:00,1670.66
2025-10-08 21:45:00+02:00,1672.65
2025-10-08 22:00:00+02:00,1692.79
2025-10-08 22:15:00+02:00,1699.91
2025-10-08 22:30:00+02:00,1709.1
2025-10-08 22:45:00+02:00,1717.41
2025-10-08 23:00:00+02:00,1726.6
2025-10-08 23:15:00+02:00,1729.49
2025-10-08 23:30:00+02:00,1734.09
2025-10-08 23:45:00+02:00,1730.77
2025-10-09 00:00:00+02:00,1534.3
2025-10-09 00:15:00+02:00,1533.0
2025-10-09 00:30:00+02:00,1531.8
2025-10-09 00:45:00+02:00,1527.78
2025-10-09 01:00:00+02:00,1533.14
2025-10-09 01:15:00+02:00,1521.99
2025-10-09 01:30:00+02:00,1513.82
2025-10-09 01:45:00+02:00,1512.76
2025-10-09 02:00:00+02:00,1510.35
2025-10-09 02:15:00+02:00,1522.35
2025-10-09 02:30:00+02:00,1533.34
2025-10-09 02:45:00+02:00,1540.51
2025-10-09 03:00:00+02:00,1555.94
2025-10-09 03:15:00+02:00,1571.41
2025-10-09 03:30:00+02:00,1597.91
2025-10-09 03:45:00+02:00,1618.3
2025-10-09 04:00:00+02:00,1649.72
2025-10-09 04:15:00+02:00,1676.02
2025-10-09 04:30:00+02:00,1707.54
2025-10-09 04:45:00+02:00,1737.73
2025-10-09 05:00:00+02:00,1769.97
2025-10-09 05:15:00+02:00,1825.55
2025-10-09 05:30:00+02:00,1880.93
2025-10-09 05:45:00+02:00,1939.31
2025-10-09 06:00:00+02:00,1985.06
2025-10-09 06:15:00+02:00,2064.93
2025-10-09 06:30:00+02:00,2149.07
2025-10-09 06:45:00+02:00,2235.61
2025-10-09 07:00:00+02:00,2321.22
2025-10-09 07:15:00+02:00,2416.24
2025-10-09 07:30:00+02:00,2510.12
2025-10-09 07:45:00+02:00,2604.94
2025-10-09 08:00:00+02:00,2696.64
2025-10-09 08:15:00+02:00,2806.11
2025-10-09 08:30:00+02:00,2915.58
2025-10-09 08:45:00+02:00,3018.15
2025-10-09 09:00:00+02:00,3112.35
2025-10-09 09:15:00+02:00,3208.6
2025-10-09 09:30:00+02:00,3299.98
2025-10-09 09:45:00+02:00,3396.89
2025-10-09 10:00:00+02:00,3500.61
2025-10-09 10:15:00+02:00,3651.37
2025-10-09 10:30:00+02:00,3801.48
2025-10-09 10:45:00+02:00,3947.83
2025-10-09 11:00:00+02:00,4088.45
2025-10-09 11:15:00+02:00,4196.79
2025-10-09 11:30:00+02:00,4311.22
2025-10-09 11:45:00+02:00,4425.69
2025-10-09 12:00:00+02:00,4523.75
2025-10-09 12:15:00+02:00,4560.7
2025-10-09 12:30:00+02:00,4644.82
2025-10-09 12:45:00+02:00,4710.89
2025-10-09 13:00:00+02:00,4774.76
2025-10-09 13:15:00+02:00,4848.69
2025-10-09 13:30:00+02:00,4932.6
2025-10-09 13:45:00+02:00,5038.88
2025-10-09 14:00:00+02:00,5117.64
2025-10-09 14:15:00+02:00,5192.33
2025-10-09 14:30:00+02:00,5271.15
2025-10-09 14:45:00+02:00,5346.28
2025-10-09 15:00:00+02:00,5420.85
2025-10-09 15:15:00+02:00,5485.59
2025-10-09 15:30:00+02:00,5550.35
2025-10-09 15:45:00+02:00,5549.2
2025-10-09 16:00:00+02:00,5614.17
2025-10-09 16:15:00+02:00,5673.02
2025-10-09 16:30:00+02:00,5733.66
2025-10-09 16:45:00+02:00,5798.4
2025-10-09 17:00:00+02:00,5860.1
2025-10-09 17:15:00+02:00,5904.94
2025-10-09 17:30:00+02:00,5940.74
2025-10-09 17:45:00+02:00,5983.68
2025-10-09 18:00:00+02:00,6024.57
2025-10-09 18:15:00+02:00,6052.29
2025-10-09 18:30:00+02:00,6084.09
2025-10-09 18:45:00+02:00,6109.64
2025-10-09 19:00:00+02:00,6120.23
2025-10-09 19:15:00+02:00,6113.38
2025-10-09 19:30:00+02:00,6122.35
2025-10-09 19:45:00+02:00,6121.68
2025-10-09 20:00:00+02:00,6109.17
2025-10-09 20:15:00+02:00,6083.78
2025-10-09 20:30:00+02:00,6145.41
2025-10-09 20:45:00+02:00,6109.91
2025-10-09 21:00:00+02:00,6063.93
2025-10-09 21:15:00+02:00,6020.65
2025-10-09 21:30:00+02:00,5973.35
2025-10-09 21:45:00+02:00,5926.48
2025-10-09 22:00:00+02:00,5937.97
2025-10-09 22:15:00+02:00,5851.65
2025-10-09 22:30:00+02:00,5757.11
2025-10-09 22:45:00+02:00,5671.41
2025-10-09 23:00:00+02:00,5582.71
2025-10-09 23:15:00+02:00,5504.76
2025-10-09 23:30:00+02:00,5424.56
2025-10-09 23:45:00+02:00,5339.32
2025-10-10 00:00:00+02:00,4980.91
2025-10-10 00:15:00+02:00,4889.86
2025-10-10 00:30:00+02:00,4797.66
2025-10-10 00:45:00+02:00,4705.47
2025-10-10 01:00:00+02:00,4632.74
2025-10-10 01:15:00+02:00,4583.92
2025-10-10 01:30:00+02:00,4530.02
2025-10-10 01:45:00+02:00,4471.18
2025-10-10 02:00:00+02:00,4425.56
2025-10-10 02:15:00+02:00,4426.26
2025-10-10 02:30:00+02:00,4426.78
2025-10-10 02:45:00+02:00,4420.1
2025-10-10 03:00:00+02:00,4421.28
2025-10-10 03:15:00+02:00,4423.64
2025-10-10 03:30:00+02:00,4421.73
2025-10-10 03:45:00+02:00,4419.63
2025-10-10 04:00:00+02:00,4425.29
2025-10-10 04:15:00+02:00,4444.63
2025-10-10 04:30:00+02:00,4466.83
2025-10-10 04:45:00+02:00,4491.99
2025-10-10 05:00:00+02:00,4512.41
2025-10-10 05:15:00+02:00,4513.79
2025-10-10 05:30:00+02:00,4516.21
2025-10-10 05:45:00+02:00,4518.63
2025-10-10 06:00:00+02:00,4500.44
2025-10-10 06:15:00+02:00,4535.2
2025-10-10 06:30:00+02:00,4568.94
2025-10-10 06:45:00+02:00,4643.71
2025-10-10 07:00:00+02:00,4675.75
2025-10-10 07:15:00+02:00,4697.3
2025-10-10 07:30:00+02:00,4711.7
