time,forecast_mw
2025-10-07 00:00:00+02:00,9605.39
2025-10-07 00:15:00+02:00,9356.27
2025-10-07 00:30:00+02:00,9104.85
2025-10-07 00:45:00+02:00,8853.29
2025-10-07 01:00:00+02:00,8600.62
2025-10-07 01:15:00+02:00,8355.94
2025-10-07 01:30:00+02:00,8121.03
2025-10-07 01:45:00+02:00,7887.39
2025-10-07 02:00:00+02:00,7653.56
2025-10-07 02:15:00+02:00,7429.09
2025-10-07 02:30:00+02:00,7209.59
2025-10-07 02:45:00+02:00,6990.29
2025-10-07 03:00:00+02:00,6779.4
2025-10-07 03:15:00+02:00,6578.49
2025-10-07 03:30:00+02:00,6374.94
2025-10-07 03:45:00+02:00,6170.95
2025-10-07 04:00:00+02:00,5965.27
2025-10-07 04:15:00+02:00,5763.88
2025-10-07 04:30:00+02:00,5564.65
2025-10-07 04:45:00+02:00,5367.5
2025-10-07 05:00:00+02:00,5175.05
2025-10-07 05:15:00+02:00,5025.39
2025-10-07 05:30:00+02:00,4877.0
2025-10-07 05:45:00+02:00,4728.78
2025-10-07 06:00:00+02:00,4595.64
2025-10-07 06:15:00+02:00,4456.48
2025-10-07 06:30:00+02:00,4319.41
2025-10-07 06:45:00+02:00,4189.13
2025-10-07 07:00:00+02:00,4074.53
2025-10-07 07:15:00+02:00,3959.66
2025-10-07 07:30:00+02:00,3856.55
2025-10-07 07:45:00+02:00,3762.18
2025-10-07 08:00:00+02:00,3698.95
2025-10-07 08:15:00+02:00,3631.34
2025-10-07 08:30:00+02:00,3524.11
2025-10-07 08:45:00+02:00,3397.78
2025-10-07 09:00:00+02:00,3274.66
2025-10-07 09:15:00+02:00,3162.41
2025-10-07 09:30:00+02:00,3047.42
2025-10-07 09:45:00+02:00,2933.98
2025-10-07 10:00:00+02:00,2832.63
2025-10-07 10:15:00+02:00,2764.11
2025-10-07 10:30:00+02:00,2696.25
2025-10-07 10:45:00+02:00,2638.01
2025-10-07 11:00:00+02:00,2593.98
2025-10-07 11:15:00+02:00,2611.48
2025-10-07 11:30:00+02:00,2632.27
2025-10-07 11:45:00+02:00,2657.66
2025-10-07 12:00:00+02:00,2705.17
2025-10-07 12:15:00+02:00,2802.69
2025-10-07 12:30:00+02:00,2900.71
2025-10-07 12:45:00+02:00,2998.06
2025-10-07 13:00:00+02:00,3079.27
2025-10-07 13:15:00+02:00,3152.77
2025-10-07 13:30:00+02:00,3223.98
2025-10-07 13:45:00+02:00,3302.26
2025-10-07 14:00:00+02:00,3374.05
2025-10-07 14:15:00+02:00,3437.87
2025-10-07 14:30:00+02:00,3496.51
2025-10-07 14:45:00+02:00,3553.44
2025-10-07 15:00:00+02:00,3595.61
2025-10-07 15:15:00+02:00,3625.33
2025-10-07 15:30:00+02:00,3655.79
2025-10-07 15:45:00+02:00,3680.72
2025-10-07 16:00:00+02:00,3704.05
2025-10-07 16:15:00+02:00,3698.07
2025-10-07 16:30:00+02:00,3700.74
2025-10-07 16:45:00+02:00,3707.96
2025-10-07 17:00:00+02:00,3735.31
2025-10-07 17:15:00+02:00,3802.69
2025-10-07 17:30:00+02:00,3870.96
2025-10-07 17:45:00+02:00,3945.12
2025-10-07 18:00:00+02:00,4022.5
2025-10-07 18:15:00+02:00,4163.03
2025-10-07 18:30:00+02:00,4303.09
2025-10-07 18:45:00+02:00,4448.27
2025-10-07 19:00:00+02:00,4583.03
2025-10-07 19:15:00+02:00,4730.56
2025-10-07 19:30:00+02:00,4876.37
2025-10-07 19:45:00+02:00,5004.81
2025-10-07 20:00:00+02:00,5142.14
2025-10-07 20:15:00+02:00,5274.99
2025-10-07 20:30:00+02:00,5376.83
2025-10-07 20:45:00+02:00,5451.14
2025-10-07 21:00:00+02:00,5458.38
2025-10-07 21:15:00+02:00,5436.91
2025-10-07 21:30:00+02:00,5462.28
2025-10-07 21:45:00+02:00,5512.61
2025-10-07 22:00:00+02:00,5509.03
2025-10-07 22:15:00+02:00,5520.12
2025-10-07 22:30:00+02:00,5535.94
2025-10-07 22:45:00+02:00,5549.27
2025-10-07 23:00:00+02:00,5554.86
2025-10-07 23:15:00+02:00,5539.15
2025-10-07 23:30:00+02:00,5523.25
2025-10-07 23:45:00+02:00,5511.5
2025-10-08 00:00:00+02:00,6515.7
2025-10-08 00:15:00+02:00,6467.74
2025-10-08 00:30:00+02:00,6422.35
2025-10-08 00:45:00+02:00,6379.16
2025-10-08 01:00:00+02:00,6329.96
2025-10-08 01:15:00+02:00,6274.52
2025-10-08 01:30:00+02:00,6217.08
2025-10-08 01:45:00+02:00,6161.65
2025-10-08 02:00:00+02:00,6112.65
2025-10-08 02:15:00+02:00,6085.85
2025-10-08 02:30:00+02:00,6061.82
2025-10-08 02:45:00+02:00,6039.08
2025-10-08 03:00:00+02:00,6000.33
2025-10-08 03:15:00+02:00,5941.03
2025-10-08 03:30:00+02:00,5880.55
2025-10-08 03:45:00+02:00,5816.11
2025-10-08 04:00:00+02:00,5752.94
2025-10-08 04:15:00+02:00,5674.45
2025-10-08 04:30:00+02:00,5596.25
2025-10-08 04:45:00+02:00,5517.71
2025-10-08 05:00:00+02:00,5439.21
2025-10-08 05:15:00+02:00,5375.41
2025-10-08 05:30:00+02:00,5309.78
2025-10-08 05:45:00+02:00,5243.83
2025-10-08 06:00:00+02:00,5191.97
2025-10-08 06:15:00+02:00,5116.6
2025-10-08 06:30:00+02:00,5043.05
2025-10-08 06:45:00+02:00,4975.53
2025-10-08 07:00:00+02:00,4924.55
2025-10-08 07:15:00+02:00,4868.5
2025-10-08 07:30:00+02:00,4820.45
2025-10-08 07:45:00+02:00,4776.13
2025-10-08 08:00:00+02:00,4755.4
2025-10-08 08:15:00+02:00,4728.02
2025-10-08 08:30:00+02:00,4667.65
2025-10-08 08:45:00+02:00,4589.23
2025-10-08 09:00:00+02:00,4478.18
2025-10-08 09:15:00+02:00,4352.79
2025-10-08 09:30:00+02:00,4225.97
2025-10-08 09:45:00+02:00,4085.28
2025-10-08 10:00:00+02:00,3940.51
2025-10-08 10:15:00+02:00,3829.55
2025-10-08 10:30:00+02:00,3719.74
2025-10-08 10:45:00+02:00,3608.93
2025-10-08 11:00:00+02:00,3520.09
2025-10-08 11:15:00+02:00,3500.97
2025-10-08 11:30:00+02:00,3484.02
2025-10-08 11:45:00+02:00,3473.34
2025-10-08 12:00:00+02:00,3459.83
2025-10-08 12:15:00+02:00,3449.79
2025-10-08 12:30:00+02:00,3439.46
2025-10-08 12:45:00+02:00,3446.31
2025-10-08 13:00:00+02:00,3444.95
2025-10-08 13:15:00+02:00,3455.2
2025-10-08 13:30:00+02:00,3491.24
2025-10-08 13:45:00+02:00,3535.14
2025-10-08 14:00:00+02:00,3579.08
2025-10-08 14:15:00+02:00,3614.42
2025-10-08 14:30:00+02:00,3638.57
2025-10-08 14:45:00+02:00,3659.44
2025-10-08 15:00:00+02:00,3654.41
2025-10-08 15:15:00+02:00,3633.02
2025-10-08 15:30:00+02:00,3611.53
2025-10-08 15:45:00+02:00,3581.63
2025-10-08 16:00:00+02:00,3547.72
2025-10-08 16:15:00+02:00,3488.42
2025-10-08 16:30:00+02:00,3433.72
2025-10-08 16:45:00+02:00,3387.3
2025-10-08 17:00:00+02:00,3359.12
2025-10-08 17:15:00+02:00,3386.12
2025-10-08 17:30:00+02:00,3413.71
2025-10-08 17:45:00+02:00,3443.55
2025-10-08 18:00:00+02:00,3494.96
2025-10-08 18:15:00+02:00,3606.65
2025-10-08 18:30:00+02:00,3724.26
2025-10-08 18:45:00+02:00,3843.18
2025-10-08 19:00:00+02:00,3956.13
2025-10-08 19:15:00+02:00,4092.16
2025-10-08 19:30:00+02:00,4224.84
2025-10-08 19:45:00+02:00,4339.17
2025-10-08 20:00:00+02:00,4452.36
2025-10-08 20:15:00+02:00,4541.59
2025-10-08 20:30:00+02:00,4602.82
2025-10-08 20:45:00+02:00,4648.23
2025-10-08 21:00:00+02:00,4659.48
2025-10-08 21:15:00+02:00,4667.44
2025-10-08 21:30:00+02:00,4707.07
2025-10-08 21:45:00+02:00,4765.42
2025-10-08 22:00:00+02:00,4817.64
2025-10-08 22:15:00+02:00,4896.9
2025-10-08 22:30:00+02:00,4977.98
2025-10-08 22:45:00+02:00,5055.0
2025-10-08 23:00:00+02:00,5108.13
2025-10-08 23:15:00+02:00,5164.11
2025-10-08 23:30:00+02:00,5219.79
2025-10-08 23:45:00+02:00,5283.71
2025-10-09 00:00:00+02:00,4765.65
2025-10-09 00:15:00+02:00,4775.46
2025-10-09 00:30:00+02:00,4789.77
2025-10-09 00:45:00+02:00,4801.14
2025-10-09 01:00:00+02:00,4805.4
2025-10-09 01:15:00+02:00,4803.7
2025-10-09 01:30:00+02:00,4799.45
2025-10-09 01:45:00+02:00,4799.12
2025-10-09 02:00:00+02:00,4808.15
2025-10-09 02:15:00+02:00,4824.9
2025-10-09 02:30:00+02:00,4836.02
2025-10-09 02:45:00+02:00,4842.47
2025-10-09 03:00:00+02:00,4854.68
2025-10-09 03:15:00+02:00,4868.82
2025-10-09 03:30:00+02:00,4882.06
2025-10-09 03:45:00+02:00,4885.26
2025-10-09 04:00:00+02:00,4890.64
2025-10-09 04:15:00+02:00,4920.24
2025-10-09 04:30:00+02:00,4950.21
2025-10-09 04:45:00+02:00,4985.9
2025-10-09 05:00:00+02:00,5019.24
2025-10-09 05:15:00+02:00,5051.38
2025-10-09 05:30:00+02:00,5085.32
2025-10-09 05:45:00+02:00,5124.06
2025-10-09 06:00:00+02:00,5173.07
2025-10-09 06:15:00+02:00,5191.8
2025-10-09 06:30:00+02:00,5213.21
2025-10-09 06:45:00+02:00,5239.81
2025-10-09 07:00:00+02:00,5268.72
2025-10-09 07:15:00+02:00,5283.02
2025-10-09 07:30:00+02:00,5306.94
2025-10-09 07:45:00+02:00,5332.69
2025-10-09 08:00:00+02:00,5370.34
2025-10-09 08:15:00+02:00,5371.06
2025-10-09 08:30:00+02:00,5320.84
2025-10-09 08:45:00+02:00,5242.83
2025-10-09 09:00:00+02:00,5130.54
2025-10-09 09:15:00+02:00,5016.54
2025-10-09 09:30:00+02:00,4900.17
2025-10-09 09:45:00+02:00,4782.21
2025-10-09 10:00:00+02:00,4684.55
2025-10-09 10:15:00+02:00,4715.55
2025-10-09 10:30:00+02:00,4744.85
2025-10-09 10:45:00+02:00,4791.25
2025-10-09 11:00:00+02:00,4892.28
2025-10-09 11:15:00+02:00,5185.53
2025-10-09 11:30:00+02:00,5485.58
2025-10-09 11:45:00+02:00,5782.0
2025-10-09 12:00:00+02:00,6086.16
2025-10-09 12:15:00+02:00,6478.73
2025-10-09 12:30:00+02:00,6872.74
